Date,Code,Action,Price,Shares,Reason,CashAfter,PortfolioValue,TotalEquity,PeakEquity,Drawdown
2026-02-26,8835.T,BUY,891.0,392,ENTRY,5650728.0,349272.0,6000000.0,6000000,0.0
2026-02-26,4256.T,BUY,1384.0,252,ENTRY,5301960.0,698040.0,6000000.0,6000000,0.0
2026-02-27,6482.T,BUY,781.0,448,ENTRY,4952072.0,1056692.0,6008764.0,6008764.0,0.0
2026-03-02,6482.T,SELL,748.0,448,MA75_BREAK,5287176.0,1034880.0,6322056.0,6322056.0,0.0
2026-03-03,4256.T,SELL,1315.0,252,MA75_BREAK,5618556.0,677908.0,6296464.0,6322056.0,-0.004048050191266891
2026-03-04,8835.T,SELL,860.0,392,MA75_BREAK,5955676.0,337120.0,6292796.0,6322056.0,-0.004628241192422212
2026-03-05,8630.T,BUY,5963.0,58,ENTRY,5609822.0,345854.0,5955676.0,6322056.0,-0.05795266603143028
2026-03-05,9647.T,BUY,8480.0,41,ENTRY,5262142.0,693534.0,5955676.0,6322056.0,-0.05795266603143028
2026-03-05,1966.T,BUY,1873.0,186,ENTRY,4913764.0,1041912.0,5955676.0,6322056.0,-0.05795266603143028
2026-03-06,9647.T,SELL,8240.0,41,MA75_BREAK,5251604.0,1029602.0,6281206.0,6322056.0,-0.006461505560849192
2026-03-06,9423.T,BUY,114.0,3070,ENTRY,4901624.0,1041742.0,5943366.0,6322056.0,-0.05989981740117455
